player,IP,W,L,SV,HLD
"Adon, Joan",47.8,2,3.4,0,0
"Pint, Riley",47,2.2,2.4,0,5
"Snead, Kirby",47,2.1,2.5,0,8
"Weems, Jordan",46.7,2.2,2.4,0,4
"Stephens, Jackson",46.7,2.4,2.2,0,4
"Hill, Garrett",46.7,2.1,2.5,0,8
"Giles, Ken",46.6,2.3,2.3,3,5
"Cruz, Fernando",46.6,2.2,2.4,0,5
"Sanchez, Cristopher",45.9,2.3,2.2,0,9
"Alexander, Jason",45.5,2.3,2.5,0,2
"Chapman, Aroldis",45.4,2.4,2.1,7,14
"Sadler, Casey",45.4,2.2,2.3,0,14
"Cuas, Jose",45.4,2.1,2.4,0,17
"Gonzalez, Victor",45.4,2.4,2.1,0,14
"Taylor, Josh",45.4,2.3,2.2,0,14
"Llovera, Mauricio",45.4,2.2,2.3,0,5
"Faucher, Calvin",45.4,2.2,2.3,0,5
"Battenfield, Peyton",45.4,2.2,2.3,0,5
"Waites, Cole",45.2,2.2,2.2,0,5
"Hjelle, Sean",45,2.2,2.4,0,3
"King, John",44.8,2.2,2.2,0,11
"Nogosek, Stephen",44.8,2.2,2.2,0,4
"Crick, Kyle",44.6,2.1,2.3,0,12
"Calvo, Blair",43.7,2.1,2.2,0,4
"Greene, Zach",43.7,2.2,2.1,0,4
"Naughton, Packy",42.8,2.2,2,0,8
"Stone, Gavin",42.7,2.5,2.1,0,2
"France, J.P.",42,2.3,2,0,3
"Garcia, Deivi",42,2.1,2.2,0,3
"Sanchez, Aaron",41.4,1.9,2.4,0,2
"Taylor, Blake",41.4,2,2.1,0,16
"Young, Alex",41,1.9,2.1,0,11
"Foster, Matt",40.9,2,2.1,0,8
"Shaw, Bryan",40.9,1.9,2.1,0,9
"Thornburg, Tyler",40.8,1.9,2.1,0,3
"Banks, Tanner",40.8,2.1,1.9,0,3
"Szapucki, Thomas",40.8,2.1,1.9,0,5
"Abbott, Cory",40.8,1.8,2.2,0,3
"Henriquez, Ronny",40.8,2,2,0,3
"Lucchesi, Joey",40.7,2.3,2.1,0,2
"Rosenthal, Trevor",40.5,1.9,2.1,0,8
"Altavilla, Dan",40.5,2,2,0,4
"Speier, Gabe",40.5,2,2,0,8
"Merryweather, Julian",40.5,2,2,0,9
"Hollowell, Gavin",40.5,2,2,0,4
"Hernandez, Jose",40.5,1.9,2.1,0,4
"Bruihl, Justin",40.5,1.9,2.1,0,8
"Ragans, Cole",39.4,1.9,2.1,0,3
"Ramirez, Noe",39.3,1.8,2,1,13
"Brault, Steven",38.9,1.8,2,0,7
"Garcia, Rico",38.9,1.7,2.1,0,3
"Howard, Spencer",38.9,1.9,1.9,0,3
