last_name, first_name,player_id,year,player_age,xslg,xwoba,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Healy, Ryon,592387,2018,26,.442,.322,.300,89.6,12.3,32.2,7.1,6.5,41.6,62.8,33.7,45.8,23.3,22.8,8.1,26.1,
Machado, Manny,592518,2018,25,.512,.369,.357,91.6,14.4,33.8,11.3,7.7,48.2,72.7,28.5,40,26.8,24,9.2,26.1,
Realmuto, J.T.,592663,2018,27,.472,.351,.337,88.9,14.5,39.8,9,5.6,41.2,66.8,25.9,39.8,25.7,27.3,7.2,28.7,
Rosario, Eddie,592696,2018,26,.424,.302,.281,87.7,17.8,32.5,8.3,5.9,34.2,77.8,41.9,37.8,28.2,23.4,10.7,28.0,
Simmons, Andrelton,592743,2018,28,.388,.316,.325,88.2,7.8,28.3,4.1,4.1,36.3,67.1,23.7,51,16.5,23.4,9.1,27.1,
Yelich, Christian,592885,2018,26,.570,.416,.398,92.6,5,36.7,12.9,7.9,50.8,65.2,25,52.8,16.8,27.4,2.9,28.6,
Merrifield, Whit,593160,2018,29,.428,.343,.350,87,16.9,40.9,4.6,6.8,31.2,67.7,29,35.9,24.5,31,8.6,29.1,
Bogaerts, Xander,593428,2018,25,.493,.363,.352,90.6,12.6,32.9,9.8,6.5,41.8,60.6,26.7,43.4,24.5,24,8.2,27.9,
Calhoun, Kole,594777,2018,30,.447,.332,.320,90.4,12.1,34.3,9.3,8.2,43.1,73.4,27.1,45.1,28.8,23.6,2.5,26.1,
Profar, Jurickson,595777,2018,25,.394,.323,.333,87.3,12.4,33.6,5,4.3,31.8,68.3,30.2,44.5,21.6,25.7,8.2,27.6,
Baez, Javier,595879,2018,25,.504,.344,.306,90.6,9.6,33.1,12.6,6.1,43.3,77.3,43.5,47.1,22.1,23.6,7.2,28.9,
Lindor, Francisco,596019,2018,24,.512,.375,.364,90.6,14.7,34.3,9.3,8.4,41,67.8,29.8,40,25.5,25.9,8.6,28.4,
Odor, Rougned,596059,2018,24,.409,.317,.317,90.7,13.9,30.5,7.1,7.3,38.7,65.4,33.1,44.9,22.6,23.2,9.3,28.2,
Story, Trevor,596115,2018,25,.513,.358,.326,91,15.9,38.2,12.7,7.6,46.2,73.1,28.5,35.5,29,28.3,7.1,29.7,
Kepler, Max,596146,2018,25,.404,.324,.330,89.5,16.3,30.1,6.6,7.5,38.2,65,21,37.8,29.2,23.9,9.1,27.9,
Bradley Jr., Jackie,598265,2018,28,.459,.343,.335,92.2,12.3,35.2,10.3,8.2,50.1,70.1,23.3,43.7,24.9,25.5,5.9,27.8,
Candelario, Jeimer,600869,2018,24,.350,.292,.302,87.1,15.3,32,6,4.2,33.6,61.3,25.6,42.2,22.4,24.5,10.9,27.3,
Ahmed, Nick,605113,2018,28,.373,.292,.295,86.9,11.9,36.3,5.1,5.8,30,71.5,30,41.6,24.5,27.4,6.5,28.2,
Anderson, Brian,605119,2018,25,.407,.334,.347,90.2,8.7,29.2,5.8,6,42.4,68.2,23.4,52.3,18.8,23.3,5.6,27.1,
Bell, Josh,605137,2018,25,.417,.340,.354,90.2,9.4,29.6,7,6,39.3,68.5,23.1,49.8,22.6,21.4,6.2,27.1,
Betts, Mookie,605141,2018,25,.606,.431,.410,92.2,18.5,39.4,14.1,8.1,50.6,56.6,16.2,34.3,31.6,26.5,7.6,28.1,
Smith, Mallex,605480,2018,25,.339,.302,.331,85.8,3.7,32.2,1.5,3.6,23,72.8,26,51.2,17.1,28.1,3.6,29.9,
Hernandez, Teoscar,606192,2018,25,.498,.341,.299,91.8,17,34.8,15.5,8.5,45.9,72.1,28.2,38,31,23.1,7.9,28.6,
Peraza, Jose,606299,2018,24,.383,.304,.314,85.8,15,38.2,2.5,3.3,23.6,67.1,33.2,38.9,24.2,28.9,7.9,28.8,
Marte, Ketel,606466,2018,24,.394,.320,.330,88.8,5.8,28.8,5,5.4,36.9,69.1,24,52,19.4,22.7,5.9,28.7,
Nimmo, Brandon,607043,2018,25,.398,.353,.386,89.9,10.7,33.4,6.5,7.2,42.1,62.3,16.2,46.1,21.2,24.2,8.5,28.5,
Turner, Trea,607208,2018,25,.415,.335,.347,89.1,9.3,29,5.8,4.9,38.6,64.8,23.2,49.6,20.4,24.2,5.8,30.1,
Pillar, Kevin,607680,2018,29,.432,.321,.310,87.3,16.8,39.3,5.7,9,36.7,67,41.8,36.7,22.9,29.8,10.7,27.9,
Ramirez, Jose,608070,2018,25,.470,.365,.382,89,19,34.3,8.3,7.9,35.1,60.7,19.9,33.9,31.2,23.4,11.5,27.4,
Bregman, Alex,608324,2018,24,.464,.369,.380,89.4,16.8,37.9,7.6,8,39.9,57.8,18.2,35.5,26.6,27.1,10.7,27.9,
Gallo, Joey,608336,2018,24,.544,.371,.334,94.3,21.9,37.5,22.5,7.8,49.5,72.9,29.5,30,37.2,23.9,8.9,27.7,
Mazara, Nomar,608577,2018,23,.443,.333,.320,90.5,5.3,28.2,8.5,6.4,43.4,62.8,32.2,55.1,19.1,20.5,5.3,26.8,
Andujar, Miguel,609280,2018,23,.434,.322,.309,89.2,12.3,34.6,6.3,5.6,36.5,72.2,36,44.2,22.7,24,9.2,27.9,
Swanson, Dansby,621020,2018,24,.363,.281,.298,88,14.1,32.1,4.1,5.2,34,69.9,31.1,44.1,21.4,25.2,9.3,29.5,
Taylor, Chris,621035,2018,27,.406,.321,.321,88.9,16.4,39.5,8.3,7.5,38.5,69.8,23.7,34.8,26.2,32.3,6.6,28.7,
Wendle, Joey,621563,2018,28,.367,.304,.323,88.8,10.7,31.8,2.7,5.2,35.7,61.2,34.1,47.4,19.4,26.3,6.9,28.4,
Olson, Matt,621566,2018,24,.494,.357,.338,93.3,18.1,35.1,12.2,9.1,52.2,69.1,21,36.5,28.4,24.8,10.3,25.9,
Duffy, Matt,622110,2018,27,.351,.310,.339,86.8,4.8,33.7,1.2,4.1,28.1,67.8,25,55.7,12.3,28.8,3.1,27.8,
Margot, Manuel,622534,2018,23,.367,.293,.301,89.4,11.5,34,3.3,8.3,37,65.5,24.9,43.6,20.2,26.4,9.8,29.4,
Camargo, Johan,622666,2018,24,.373,.307,.321,88,12.6,31.2,5,6.4,33.7,70,32.3,44.8,24.2,22.8,8.1,26.3,
Conforto, Michael,624424,2018,25,.426,.339,.350,88,12.5,36.3,9.5,6.7,37.4,64.4,24.2,44.6,25.3,23.7,6.4,27.8,
Anderson, Tim,641313,2018,25,.362,.276,.269,85.8,10.8,33.3,4.7,5.4,27.9,73,36.2,47.5,22.9,24.1,5.4,28.8,
Bellinger, Cody,641355,2018,22,.432,.327,.326,89.8,16.2,32,8.6,6.8,38.9,66.1,24.4,41.3,25.2,22.2,11.2,28.9,
Mancini III, Trey,641820,2018,26,.434,.328,.311,89.9,5.4,27.6,11.8,4.8,42.9,68.1,31.5,55.5,19.1,22.1,3.2,27.0,
Rosario, Amed,642708,2018,22,.367,.289,.295,87.8,7.9,32.4,3.9,4.1,32.3,69.8,37.9,50.1,18.1,25.2,6.6,29.5,
Benintendi, Andrew,643217,2018,23,.449,.353,.360,88.6,12.8,37.3,6.4,4.1,33.7,70,24.3,41.9,25.7,28.6,3.7,27.7,
